                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6782,                 4.1275,                 3.6176,                0.64384,                0.02242,                0.00948,                0.00357,                  3.168,                 5.8291,                  3.099,              0.0033262,              0.0033262,              0.0033262
                      2,                 2.4222,                 2.3996,                 2.1357,                0.53299,                0.13327,                0.11384,                0.04961,                 1.9854,                 1.8011,                 1.8359,              0.0065936,              0.0065936,              0.0065936
                      3,                 2.0324,                 1.9308,                 1.7592,                0.40323,                0.17665,                0.15826,                0.07375,                 1.7894,                 1.5632,                 1.6582,               0.009795,               0.009795,               0.009795
                      4,                 1.8026,                 1.6332,                 1.5847,                0.47694,                0.21254,                0.21239,                0.11177,                 1.5353,                  1.581,                 1.4731,               0.009703,               0.009703,               0.009703
                      5,                  1.639,                 1.3965,                 1.4568,                0.44147,                0.29469,                0.28655,                0.15177,                  1.495,                 1.1893,                 1.4086,               0.009604,               0.009604,               0.009604
                      6,                 1.5254,                 1.2663,                 1.3819,                0.55044,                 0.3038,                0.32232,                0.18113,                 1.3692,                 1.0934,                 1.3312,               0.009505,               0.009505,               0.009505
                      7,                 1.4485,                 1.1597,                 1.3324,                0.65517,                0.35255,                0.40214,                0.22056,                 1.2878,                 1.0149,                 1.2794,               0.009406,               0.009406,               0.009406
                      8,                 1.3873,                 1.0924,                 1.2937,                  0.615,                 0.3749,                0.40626,                0.22987,                 1.2726,                0.96291,                 1.2695,               0.009307,               0.009307,               0.009307
                      9,                 1.3518,                  1.045,                  1.271,                0.60855,                0.40912,                0.46465,                0.26195,                 1.2369,                0.94049,                 1.2481,               0.009208,               0.009208,               0.009208
                     10,                 1.3152,                 1.0045,                 1.2454,                0.66874,                0.44086,                0.47306,                0.28213,                 1.1967,                0.87427,                 1.2208,               0.009109,               0.009109,               0.009109
                     11,                 1.2858,                0.97238,                 1.2303,                 0.5817,                0.44571,                 0.5046,                0.29681,                 1.1835,                0.85138,                 1.2055,                0.00901,                0.00901,                0.00901
                     12,                 1.2553,                0.93536,                 1.2128,                 0.6311,                0.48729,                0.54242,                0.32278,                 1.1526,                0.83318,                 1.1921,               0.008911,               0.008911,               0.008911
                     13,                 1.2349,                0.90989,                 1.2019,                0.74136,                0.49223,                0.58037,                0.33686,                 1.1236,                0.79748,                 1.1708,               0.008812,               0.008812,               0.008812
                     14,                 1.2085,                0.88441,                 1.1843,                0.64121,                0.53974,                0.58565,                0.34833,                 1.1004,                0.78134,                 1.1558,               0.008713,               0.008713,               0.008713
                     15,                 1.1973,                 0.8711,                 1.1823,                0.64285,                0.55607,                0.58941,                0.35716,                 1.1035,                0.77291,                 1.1534,               0.008614,               0.008614,               0.008614
                     16,                 1.1891,                0.85739,                 1.1729,                0.69672,                0.52025,                0.59944,                0.36887,                 1.0689,                0.73442,                  1.141,               0.008515,               0.008515,               0.008515
                     17,                 1.1681,                0.83336,                 1.1615,                 0.6728,                0.57321,                0.61642,                0.37965,                 1.0566,                0.73229,                 1.1322,               0.008416,               0.008416,               0.008416
                     18,                  1.157,                0.82025,                 1.1569,                0.73822,                0.57594,                0.65235,                0.40079,                 1.0431,                0.71034,                 1.1266,               0.008317,               0.008317,               0.008317
                     19,                 1.1371,                0.80537,                 1.1481,                0.67062,                0.62016,                0.67055,                0.41896,                 1.0301,                0.69365,                 1.1201,               0.008218,               0.008218,               0.008218
                     20,                  1.133,                0.79563,                 1.1441,                0.73592,                0.61273,                0.67111,                0.41279,                 1.0257,                0.69916,                 1.1146,               0.008119,               0.008119,               0.008119
                     21,                 1.1193,                0.78495,                 1.1353,                0.71787,                0.61517,                 0.6798,                0.42853,                 1.0124,                0.67875,                 1.1085,                0.00802,                0.00802,                0.00802
                     22,                 1.1051,                  0.771,                 1.1318,                0.74567,                0.58271,                0.68395,                0.42895,                 1.0013,                0.66595,                 1.1028,               0.007921,               0.007921,               0.007921
                     23,                 1.0993,                0.76286,                 1.1234,                0.77204,                0.58742,                0.67386,                0.42884,                0.99669,                0.66455,                 1.0975,               0.007822,               0.007822,               0.007822
                     24,                 1.0879,                0.75232,                 1.1193,                0.74619,                0.62284,                0.70906,                 0.4495,                0.98945,                0.64978,                 1.0951,               0.007723,               0.007723,               0.007723
                     25,                  1.085,                0.74867,                 1.1172,                0.73805,                0.62312,                0.70781,                0.45257,                0.98121,                 0.6451,                 1.0896,               0.007624,               0.007624,               0.007624
                     26,                 1.0745,                0.73343,                 1.1143,                0.78147,                0.63044,                0.72682,                0.46044,                0.96691,                 0.6318,                 1.0835,               0.007525,               0.007525,               0.007525
                     27,                 1.0693,                 0.7307,                 1.1091,                0.82223,                0.66087,                0.75464,                0.48383,                0.95694,                0.62106,                 1.0775,               0.007426,               0.007426,               0.007426
                     28,                 1.0629,                0.72331,                 1.1027,                0.79111,                0.64784,                0.74847,                0.47636,                0.95545,                0.61659,                 1.0737,               0.007327,               0.007327,               0.007327
                     29,                 1.0549,                0.71132,                 1.0993,                0.73444,                0.68061,                 0.7478,                0.47666,                0.94702,                0.60825,                 1.0708,               0.007228,               0.007228,               0.007228
                     30,                 1.0527,                0.70558,                 1.0973,                0.72839,                0.69282,                0.75231,                0.49714,                0.93705,                0.59806,                 1.0657,               0.007129,               0.007129,               0.007129
                     31,                  1.047,                0.70683,                 1.0951,                0.79256,                0.66372,                0.76131,                0.50096,                0.92614,                0.59705,                 1.0647,                0.00703,                0.00703,                0.00703
                     32,                 1.0347,                0.69464,                  1.092,                0.79081,                0.70075,                0.78404,                0.51403,                0.92221,                0.58975,                 1.0551,               0.006931,               0.006931,               0.006931
                     33,                 1.0242,                0.68781,                 1.0848,                0.79423,                0.67793,                0.77402,                 0.5146,                0.91847,                0.58018,                 1.0537,               0.006832,               0.006832,               0.006832
                     34,                 1.0204,                0.68155,                 1.0836,                0.82609,                0.70246,                0.78668,                0.52067,                0.90712,                0.57742,                 1.0483,               0.006733,               0.006733,               0.006733
                     35,                 1.0181,                0.67596,                 1.0796,                0.82529,                0.69414,                0.77424,                0.52514,                0.90038,                0.57013,                 1.0469,               0.006634,               0.006634,               0.006634
                     36,                  1.015,                 0.6719,                 1.0777,                0.82927,                0.70153,                0.79017,                0.53176,                0.88966,                 0.5637,                 1.0456,               0.006535,               0.006535,               0.006535
                     37,                 1.0109,                0.66805,                 1.0779,                0.79037,                0.70799,                0.78998,                0.53529,                0.88548,                0.56274,                 1.0388,               0.006436,               0.006436,               0.006436
                     38,                0.99919,                0.65687,                 1.0699,                0.81213,                0.71411,                0.80172,                0.54194,                0.87903,                0.55514,                  1.037,               0.006337,               0.006337,               0.006337
                     39,                0.99941,                0.65655,                 1.0704,                0.83077,                0.71949,                0.81058,                0.54805,                0.87104,                0.55198,                 1.0317,               0.006238,               0.006238,               0.006238
                     40,                0.99098,                0.65063,                 1.0621,                0.82065,                0.71758,                0.80683,                 0.5473,                0.87258,                0.55197,                 1.0335,               0.006139,               0.006139,               0.006139
                     41,                0.99209,                0.65141,                 1.0676,                0.83105,                0.72085,                0.80515,                0.54928,                0.86721,                0.54764,                 1.0295,                0.00604,                0.00604,                0.00604
                     42,                0.98852,                0.64994,                 1.0627,                0.80377,                0.73481,                0.80535,                0.55441,                0.86585,                0.53889,                 1.0283,               0.005941,               0.005941,               0.005941
                     43,                0.97825,                0.64106,                 1.0571,                0.80719,                0.74968,                0.81325,                0.56408,                0.85548,                0.53596,                 1.0211,               0.005842,               0.005842,               0.005842
                     44,                0.97246,                0.63741,                  1.057,                0.80211,                0.73912,                0.81849,                0.56538,                0.85245,                 0.5324,                 1.0206,               0.005743,               0.005743,               0.005743
                     45,                0.97038,                0.63575,                 1.0561,                0.84738,                0.75278,                0.82764,                0.57283,                0.84902,                0.53033,                 1.0195,               0.005644,               0.005644,               0.005644
                     46,                0.96811,                0.62866,                 1.0527,                0.84575,                0.72769,                0.82617,                0.57161,                0.84055,                0.52246,                 1.0164,               0.005545,               0.005545,               0.005545
                     47,                0.96359,                0.62715,                 1.0493,                0.84942,                0.72961,                0.82709,                 0.5748,                0.83448,                0.51696,                 1.0124,               0.005446,               0.005446,               0.005446
                     48,                0.95426,                0.61922,                 1.0464,                0.87056,                0.73612,                0.83695,                0.57704,                0.83668,                0.51723,                 1.0135,               0.005347,               0.005347,               0.005347
                     49,                0.95138,                0.61405,                 1.0422,                0.88407,                0.74431,                0.84017,                0.57889,                 0.8374,                0.51958,                  1.014,               0.005248,               0.005248,               0.005248
                     50,                0.94705,                 0.6137,                 1.0439,                0.88627,                0.73791,                0.83971,                0.58237,                0.82657,                0.51828,                 1.0099,               0.005149,               0.005149,               0.005149
                     51,                0.94738,                0.61162,                 1.0405,                0.83304,                0.78453,                 0.8428,                0.58706,                0.82672,                0.51055,                 1.0088,                0.00505,                0.00505,                0.00505
                     52,                0.94214,                0.60779,                 1.0397,                0.87704,                0.75718,                0.84987,                0.59353,                0.82345,                0.50457,                  1.006,               0.004951,               0.004951,               0.004951
                     53,                0.93558,                 0.6022,                 1.0369,                0.86115,                0.75942,                0.84666,                0.59494,                0.81364,                  0.501,                 1.0029,               0.004852,               0.004852,               0.004852
                     54,                0.93058,                0.59581,                 1.0329,                0.85143,                0.74768,                 0.8491,                0.59333,                0.81464,                0.49936,                 1.0016,               0.004753,               0.004753,               0.004753
                     55,                0.93362,                0.59988,                 1.0339,                0.89651,                0.77209,                0.85752,                0.60847,                0.80447,                0.49718,                0.99822,               0.004654,               0.004654,               0.004654
